graph_id,n_nodes,evidence_level,agent,agent_rho,p_R,p_G,p_B,entropy,kl_to_A0,kl_to_A4,D1_target_degree,D2_neighbor_coupling,D3_remote_class,S2_count,e12,e22,radius,preferred_color_template
RG011,5,high,A1,0.25,0.481886,0.301885,0.216228,1.044507,0.054106,0.226058,3,1,D3-2:strong-remote,1,2,0,2,0-2-1-0
RG011,5,high,A2,0.5,0.623055,0.222521,0.154424,0.917643,0.18097,0.070783,3,1,D3-2:strong-remote,1,2,0,2,0-2-1-0
RG011,5,high,A3,0.75,0.730144,0.157369,0.112488,0.766417,0.332196,0.009475,3,1,D3-2:strong-remote,1,2,0,2,0-2-1-0
RG011,5,high,A4,1.0,0.787994,0.121877,0.090128,0.661167,0.437446,0.0,3,1,D3-2:strong-remote,1,2,0,2,0-2-1-0
RG011,5,medium,A0,0.0,0.333333,0.333333,0.333333,1.098612,0.0,0.091422,3,1,D3-2:strong-remote,1,2,0,2,0-2-1-0
RG011,5,medium,A1,0.25,0.408599,0.312424,0.278977,1.085326,0.013286,0.036454,3,1,D3-2:strong-remote,1,2,0,2,0-2-1-0
RG011,5,medium,A2,0.5,0.473728,0.282168,0.244104,1.055172,0.04344,0.009633,3,1,D3-2:strong-remote,1,2,0,2,0-2-1-0
RG011,5,medium,A3,0.75,0.519383,0.259732,0.220886,1.023963,0.07465,0.001114,3,1,D3-2:strong-remote,1,2,0,2,0-2-1-0
RG011,5,medium,A4,1.0,0.542871,0.248116,0.209013,1.00465,0.093962,0.0,3,1,D3-2:strong-remote,1,2,0,2,0-2-1-0
RG011,5,low,A0,0.0,0.333333,0.333333,0.333333,1.098612,0.0,0.006891,3,1,D3-2:strong-remote,1,2,0,2,0-2-1-0
RG011,5,low,A1,0.25,0.353057,0.32482,0.322122,1.09774,0.000873,0.002899,3,1,D3-2:strong-remote,1,2,0,2,0-2-1-0
RG011,5,low,A2,0.5,0.370715,0.316424,0.312861,1.095512,0.0031,0.000783,3,1,D3-2:strong-remote,1,2,0,2,0-2-1-0
RG011,5,low,A3,0.75,0.383361,0.310333,0.306306,1.093094,0.005518,9.1e-05,3,1,D3-2:strong-remote,1,2,0,2,0-2-1-0
RG011,5,low,A4,1.0,0.38995,0.307155,0.302895,1.091565,0.007047,0.0,3,1,D3-2:strong-remote,1,2,0,2,0-2-1-0
RG012,5,high,A0,0.0,0.333333,0.333333,0.333333,1.098612,0.0,1.037929,3,1,D3-2:strong-remote,1,3,0,2,0-2-1-1
RG012,5,high,A1,0.25,0.17036,0.659279,0.17036,0.877682,0.220931,0.257593,3,1,D3-2:strong-remote,1,3,0,2,0-2-1-1
RG012,5,high,A2,0.5,0.080688,0.838624,0.080688,0.553802,0.54481,0.030548,3,1,D3-2:strong-remote,1,3,0,2,0-2-1-1
RG012,5,high,A3,0.75,0.051502,0.896996,0.051502,0.403031,0.695581,0.002008,3,1,D3-2:strong-remote,1,3,0,2,0-2-1-1
RG012,5,high,A4,1.0,0.042405,0.915191,0.042405,0.349146,0.749467,0.0,3,1,D3-2:strong-remote,1,3,0,2,0-2-1-1
RG012,5,medium,A0,0.0,0.333333,0.333333,0.333333,1.098612,0.0,0.183531,3,1,D3-2:strong-remote,1,3,0,2,0-2-1-1
RG012,5,medium,A1,0.25,0.258837,0.482327,0.258837,1.051346,0.047266,0.046627,3,1,D3-2:strong-remote,1,3,0,2,0-2-1-1
RG012,5,medium,A2,0.5,0.212174,0.575652,0.212174,0.975792,0.12282,0.006821,3,1,D3-2:strong-remote,1,3,0,2,0-2-1-1
RG012,5,medium,A3,0.75,0.191678,0.616643,0.191678,0.931406,0.167206,0.000538,3,1,D3-2:strong-remote,1,3,0,2,0-2-1-1
